boot-000	Boot screen at power-on
boot-250	Boot screen at 25 percent
boot-500	Boot screen at 50 percent
boot-750	Boot screen at 75 percent
boot-1000	Boot screen at completion
performance-independent-clock-play	Independent Clock channel while playing
performance-independent-clock-pause	Independent Clock channel while paused
performance-independent-clock-stop	Independent Clock channel while stopped
performance-independent-off	Independent channel disabled
performance-independent-euclid-play	Independent Euclid channel while playing
performance-independent-sequencer-play	Independent 64-step Sequencer while playing
performance-one-clock-play	One Clock mode with Humanize while playing
performance-divider-bank-play	Divider Bank in prime-divider mode while playing
performance-external-unlocked	External clock source before lock
performance-external-locked	External clock source with lock
performance-auto-internal	AUTO clock source using the internal master
performance-auto-external	AUTO clock source locked to external timing
channel-overview-independent	Independent-mode eight-channel overview
channel-overview-one-clock	Global overview in One Clock mode
channel-overview-divider-bank	Global overview in Divider Bank mode
mode-select-one-clock	Six-function mode palette
mode-select-divider-bank	Six-function mode palette
mode-select-clock	Six-function mode palette
mode-select-euclid	Six-function mode palette
mode-select-sequencer	Six-function mode palette
mode-select-off	Six-function mode palette
mode-change-confirm-no	Mode-change confirmation with safe default NO
mode-change-confirm-yes	Mode-change confirmation with YES selected
sequencer-editor	64-step Sequencer editor
templates	Factory template selection
settings-root	Settings root
settings-general	General settings
settings-master	Master clock settings
settings-sync	External Sync settings
settings-preferences	Preset settings
settings-screensaver	Screensaver settings
settings-info	Firmware information
settings-licenses	Licensing information
settings-updates	Scannable update QR code
settings-channel	Selected-channel settings
settings-rate	Selected-channel rate settings
settings-clock	Clock generator settings
settings-euclid	Euclid generator settings
settings-sequencer	Sequencer settings
settings-one-clock	One Clock settings
settings-divider-bank	Divider Bank settings
settings-editing	Settings value while actively editing
preset-load	User preset load list
preset-save	User preset save list
preset-overwrite-confirm	Occupied preset overwrite confirmation
preset-name-entry	Preset-name character-band editor
screensaver-clock	Clock screensaver with eight oscilloscope-style channel traces
screensaver-plug	Plug screensaver with a damped plucked string
screensaver-heartbeat	Heartbeat screensaver pulse frame
screensaver-acid	Acid screensaver bouncing and rotating smiley
screensaver-spectrum	Synthetic spectrum analyser with peak hold and decay
screensaver-field	Dense smooth scalar-field isocontours around moving attractors
screensaver-blox	Blox falling triangle-built bodies accumulating on the display
screensaver-matrix	Original monochrome procedural digital rain
screensaver-cube-cover	Cube Cover filling the OLED with 8x8 cube tiles
screensaver-fractal	Fractal screensaver frame
screensaver-orbit	Orbit screensaver frame
pixel-raid-intro	Pixel Raid individual retro intro with marquee
pixel-raid	Pixel Raid boot Easter egg
formula-1-intro	Formula 1 individual retro intro with marquee
formula-1	Formula 1 boot Easter egg
formula-1-crash	Formula 1 visible crash burst state
breakout-intro	Breakout individual retro intro with marquee
breakout	Breakout boot Easter egg before Tap launch
breakout-modifier	Breakout action frame with enlarged paddle and falling speed modifier
egg-journey-intro	Egg Journey individual retro intro with marquee
egg-journey	Egg Journey boot Easter egg with jumping egg and incoming asteroid
egg-journey-broken	Egg Journey crater crash with broken egg shell
egg-journey-flat	Egg Journey asteroid collision with flattened egg
beatknecht-intro	BEATKNECHT individual retro intro with marquee
beatknecht	Eight-channel BEATKNECHT gate-pattern Easter egg
arcade-name-entry	Shared three-letter initials editor for a qualifying Top-100 score
arcade-top-100	Scrollable shared Top-100 leaderboard presentation
power-off	Display appearance while module power is off
